NEVO-code,food_group_en,food_name_en,food_group_nl,food_name_nl,remark_nl,synonym_nl,food_group_no,food_name_no,food_group_de,food_name_de,food_group_es,food_name_es,food_group_el,food_name_el,food_group_it,food_name_it,food_group_pl,food_name_pl,food_group_sl,food_name_sl
2287,Non-alcoholic beverages,Fruit drink conc w sugar and sweetener 40-45 g CHO,Niet-alcoholische dranken,Siroop vruchtenlimonade- m suiker en zoetstof 40-45 g KH,Gem van Jumbo en Raak.,Limonadesiroop/ranja m suiker en zoetst 40-45 g KH,Alkoholfrie drikker,Fruktdrikk med tilsatt sukker og søtningsmiddel 40–45 g karbohydrater,Alkoholfreie Getränke,Fruchtgetränkekonzentrat mit Zucker und Süßungsmittel 40–45 g Kohlenhydrate,Bebidas no alcohólicas,Bebida de fruta con azúcar y edulcorante: 40-45 g de hidratos de carbono,Μη αλκοολούχα ποτά,Συμπυκνωμένο ποτό φρούτων με ζάχαρη και γλυκαντικό 40-45 g CHO,Bevande analcoliche,Bevanda alla frutta con zucchero e dolcificante 40-45 g di carboidrati,Napoje bezalkoholowe,Koncentrat napoju owocowego z cukrem i substancją słodzącą 40–45 g węglowodanów,Brezalkoholne pijače,Koncentrat sadnega napitka s sladkorjem in sladilom 40–45 g ogljikovih hidratov
2289,Non-alcoholic beverages,Fruit drink concentrate light,Niet-alcoholische dranken,Siroop vruchtenlimonade- light,"Gem van Slimpie aardbei, framboos en sinaasappel en Teisseire tropical en aardbei-framboos .",Limonadesiroop/ranja light,Alkoholfrie drikker,Fruktdrikkekonsentrat light,Alkoholfreie Getränke,Fruchtgetränkekonzentrat light,Bebidas no alcohólicas,Concentrado de zumo de frutas light,Μη αλκοολούχα ποτά,Συμπύκνωμα ποτού φρούτων light,Bevande analcoliche,Concentrato di bevanda alla frutta light,Napoje bezalkoholowe,Lekki koncentrat napoju owocowego,Brezalkoholne pijače,Koncentrat sadnega napitka light
2290,Meat substitutes and dairy substitutes,Coconut milk,Vleesvervangers en zuivelvervangers,Kokosmelk,"Gebaseerd op AH, Fairtrade Original, Go-Tan, Jumbo, Sum&Sam en Valle del Sole",Klappermelk,Kjøtt- og meieriprodukterstatninger,Kokosmelk,Fleischersatzprodukte und Milchersatzprodukte,Kokosmilch,Sustitutos de la carne y sustitutos de los lácteos,Leche de coco,Υποκατάστατα κρέατος και υποκατάστατα γαλακτοκομικών προϊόντων,Γάλα καρύδας,Sostituti della carne e sostituti dei latticini,Latte di cocco,Substytuty mięsa i substytuty produktów mlecznych,Mleko kokosowe,Nadomestki mesa in mlečnih izdelkov,Kokosovo mleko
2292,"Sugar, sweets and sweet sauces",Candy sugar-free,"Suiker, snoep, zoet beleg en zoete sauzen",Snoepje suikervrij,"Gemiddelde van suikervrije harde en zachte snoepjes, pepermunt en keelpastilles.",Hoestbonbon/keelpastille/zuurtje suikervrij,"Sukker, søtsaker og søte sauser",Sukkerfritt godteri,"Zucker, Süßigkeiten und süße Soßen",Zuckerfreie Süßigkeiten,"Azúcar, dulces y salsas dulces",Caramelos sin azúcar,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Γλυκά χωρίς ζάχαρη,"Zucchero, dolci e salse dolci",Caramelle senza zucchero,"Cukier, słodycze i słodkie sosy",Cukierki bez cukru,"Sladkor, sladkarije in sladke omake",Sladkarije brez sladkorja
2293,Vegetables,Tomatoes tinned,Groente,Tomaat in blik,,Tomaatblokjes in blik/tomaten hele in blik,Grønnsaker,Tomater på boks,Gemüse,Tomaten aus der Dose,Verduras,Tomates en conserva,Λαχανικά,Ντομάτες κονσερβοποιημένες,Verdure,Pomodori in scatola,Warzywa,Pomidory w puszkach,Zelenjava,Paradižnik v konzervah
2296,"Fish, crustacean and shellfish",Pollack (Atlantic) raw,"Vis, schaal- en schelpdieren",Koolvis (Atlantisch) rauw,,,"Fisk, krepsdyr og skalldyr",Pollack (Atlanterhavet) rå,"Fisch, Krebstiere und Schalentiere",Seelachs (Atlantik) roh,"Pescado, crustáceos y marisco",Abadejo (del Atlántico) crudo,"Ψάρια, οστρακοειδή και μαλάκια",Πολάκ (Ατλαντικού) ωμό,"Pesce, crostacei e molluschi",Merluzzo (dell’Atlantico) crudo,"Ryby, skorupiaki i mięczaki",Rżenica (atlantycka) surowa,"Ribe, raki in školjke",Pollack (atlantski) surov
2297,"Fish, crustacean and shellfish",Tuna raw,"Vis, schaal- en schelpdieren",Tonijn rauw,,,"Fisk, krepsdyr og skalldyr",Rå tunfisk,"Fisch, Krebstiere und Schalentiere","Thunfisch, roh","Pescado, crustáceos y marisco",Atún crudo,"Ψάρια, οστρακοειδή και μαλάκια",Τόνος ωμός,"Pesce, crostacei e molluschi",Tonno crudo,"Ryby, skorupiaki i mięczaki",Tuńczyk surowy,"Ribe, raki in školjke",Surova tuna
2298,"Fish, crustacean and shellfish",Sole raw,"Vis, schaal- en schelpdieren",Tong rauw (vis),,,"Fisk, krepsdyr og skalldyr",Rå tunge,"Fisch, Krebstiere und Schalentiere","Seezunge, roh","Pescado, crustáceos y marisco",Lenguado crudo,"Ψάρια, οστρακοειδή και μαλάκια",Γλώσσα ωμή,"Pesce, crostacei e molluschi",Sogliola cruda,"Ryby, skorupiaki i mięczaki",Sola surowa,"Ribe, raki in školjke",Sole surova
2299,"Fish, crustacean and shellfish",Tilapia raw,"Vis, schaal- en schelpdieren",Tilapia rauw,,,"Fisk, krepsdyr og skalldyr",Tilapia rå,"Fisch, Krebstiere und Schalentiere","Tilapia, roh","Pescado, crustáceos y marisco",Tilapia cruda,"Ψάρια, οστρακοειδή και μαλάκια",Τιλάπια ωμή,"Pesce, crostacei e molluschi",Tilapia cruda,"Ryby, skorupiaki i mięczaki",Tilapia surowa,"Ribe, raki in školjke","Tilapia, surova"
2300,Meat and poultry,Sausage smoked lean cooked,Vlees en gevogelte,Worst rook- magere gekookt,,Magere rookworst gekookt,Kjøtt og fjærfe,"Pølse, røkt, mager, tilberedt",Fleisch und Geflügel,"Wurst, geräuchert, mager, gekocht",Carne y aves,Salchicha ahumada magra cocida,Κρέας και πουλερικά,Λουκάνικο καπνιστό άπαχο μαγειρεμένο,Carne e pollame,Salsiccia affumicata magra cotta,Mięso i drób,"Kiełbasa wędzona, chuda, gotowana",Meso in perutnina,"Klobasa, dimljena, pusta, kuhana"
2301,Meat and poultry,Sausage smoked beef cooked,Vlees en gevogelte,Worst rook- runder gekookt,Unox.,Runderrookworst gekookt,Kjøtt og fjærfe,Røkt pølse av kokt oksekjøtt,Fleisch und Geflügel,"Rindfleischwurst, geräuchert, gekocht",Carne y aves,Salchicha de ternera ahumada cocinada,Κρέας και πουλερικά,Λουκάνικο καπνιστό βοδινό μαγειρεμένο,Carne e pollame,Salsiccia di manzo affumicata cotta,Mięso i drób,Kiełbasa wędzona z wołowiny gotowana,Meso in perutnina,"Klobasa iz dimljenega govejega mesa, kuhana"
2302,Meat and poultry,Sausage frankfurter lean tinned,Vlees en gevogelte,Worst knak- magere blik/glas,,Knakworst/Frankfurter/cocktailworstje mager,Kjøtt og fjærfe,"Frankfurterpølse, mager, hermetisert",Fleisch und Geflügel,"Frankfurter Würstchen, mager, aus der Dose",Carne y aves,Salchicha frankfurt magra en conserva,Κρέας και πουλερικά,Λουκάνικο φρανκφούρτης άπαχο κονσερβοποιημένο,Carne e pollame,Salsiccia frankfurter magra in scatola,Mięso i drób,Kiełbasa frankfurter chuda w puszce,Meso in perutnina,"Klobasa frankfurtska, pusta, konzervirana"
2303,Cold meat cuts,Sausage cooked lean,Vleeswaren,Worst gekookte magere,,Gelderse gekookte worst magere/kookworst magere,Kjøttstykker til pålegg,Kokt mager pølse,Aufschnitt,Gekochte magere Wurst,Cortes de carne en frío,Salchicha magra cocida,Κομμάτια αλλαντικών,Λουκάνικο μαγειρεμένο χωρίς λίπος,Tagli di carne fredda,Salsiccia cotta magra,Kawałki wędlin,Kiełbasa gotowana chuda,Kosi hladnega mesa,Kuhana pusta klobasa
2304,Cold meat cuts,Salami sausage saveloy lean,Vleeswaren,Worst cervelaat- magere,,,Kjøttstykker til pålegg,"Salami, saveloy, mager",Aufschnitt,"Salami, Saveloy, mager",Cortes de carne en frío,"Salami, salchicha saveloy, magra",Κομμάτια αλλαντικών,"Σαλάμι, λουκάνικο saveloy, άπαχο",Tagli di carne fredda,Salame saveloy magro,Kawałki wędlin,"Kiełbasa salami, saveloy, chuda",Kosi hladnega mesa,"Salama, klobasa saveloy, pusto"
2306,Cold meat cuts,Sausage luncheon meat lean,Vleeswaren,Worst boterham- magere,,Boterhamworst magere,Kjøttstykker til pålegg,"Pølse, luncheon meat, magert",Aufschnitt,"Wurst, Aufschnitt, mager",Cortes de carne en frío,"Salchicha, fiambre, magro",Κομμάτια αλλαντικών,"Λουκάνικο, αλλαντικό, άπαχο",Tagli di carne fredda,"Salsiccia, affettato magro",Kawałki wędlin,"Kiełbasa, wędlina, chuda",Kosi hladnega mesa,"Klobasa, mesna konzerva, pusto"
2308,Milk and milk products,Yoghurt drink Becel pro-activ,Melk en melkproducten,Yoghurtdrank Becel pro-activ,"Original en aardbei. bevat 2,0 g plantensterolen.",Drinkyoghurt becel pro-activ,Melk og melkeprodukter,Yoghurtdrikk Becel pro-activ,Milch und Milchprodukte,Joghurtgetränk Becel pro-activ,Leche y productos lácteos,Bebida de yogur Becel pro-activ,Γάλα και γαλακτοκομικά προϊόντα,Ποτό γιαουρτιού Becel pro-activ,Latte e prodotti lattiero-caseari,Bevanda allo yogurt Becel pro-activ,Mleko i produkty mleczne,Napój jogurtowy Becel pro-activ,Mleko in mlečni izdelki,Jogurtni napitek Becel pro-activ
2311,Alcoholic beverages,Breezer,Alcoholische dranken,Breezer,,,Alkoholholdige drikker,Breezer,Alkoholische Getränke,Breezer,Bebidas alcohólicas,Breezer,Αλκοολούχα ποτά,Breezer,Bevande alcoliche,Breezer,Napoje alkoholowe,Breezer,Alkoholne pijače,Breezer
2312,Cereal products and types of flour,Roti Surinam pancake,Graanproducten en meelsoorten,Roti v bloem (sada roti),,Surinaams gerecht roti,Kornprodukter og meltyper,Roti Surinam-pannekake,Getreideprodukte und Mehlsorten,Roti Surinam-Pfannkuchen,Productos de cereales y tipos de harina,Tortita «roti surinam»,Προϊόντα δημητριακών και είδη αλεύρων,Roti Surinam (τηγανίτα),Prodotti a base di cereali e tipi di farina,Frittella Roti Surinam,Produkty zbożowe i rodzaje mąki,Placki roti surinamskie,Žitni izdelki in vrste moke,Roti Surinam palačinka
2313,Meat and poultry,Beef salted cooked Surinam,Vlees en gevogelte,Rundvlees gezouten gekookt Surinaams,,Surinaams zoutvlees gekookt,Kjøtt og fjærfe,"Saltet, kokt oksekjøtt fra Surinam",Fleisch und Geflügel,"Gesalzenes, gekochtes Rindfleisch aus Surinam",Carne y aves,Carne de vacuno salada y cocida de Surinam,Κρέας και πουλερικά,Βοδινό κρέας αλατισμένο μαγειρεμένο Σουρινάμ,Carne e pollame,"Carne di manzo salata e cotta, Suriname",Mięso i drób,Wędzona wołowina z Surinamu,Meso in perutnina,Soljeno kuhano goveje meso iz Surinama
2314,Legumes,Peas split yellow boiled,Peulvruchten,Erwten split- gele gekookt,,Spliterwten gele gekookt,Belgfrukter,"Gule, delte erter, kokte",Hülsenfrüchte,"Gelbe Erbsen, gespalten, gekocht",Legumbres,"Guisantes amarillos partidos, hervidos",Όσπρια,"Κίτρινα μπιζέλια κομμένα, βρασμένα",Legumi,Piselli gialli spezzati lessati,Rośliny strączkowe,"Groch żółty łuskany, gotowany",Stročnice,"Razpolovljen rumeni grah, kuhan"
2315,Potatoes and tubers,Tannia prepared wo fat,Aardappelen en knolgewassen,Pomtajer bereid z vet,,Tajerknol bereid z vet/Pomtayer bereid z vet,Poteter og knoller,Tannia tilberedte uten fett,Kartoffeln und Knollen,Tannia hat „wo fat“ vorbereitet,Patatas y tubérculos,Tannia preparada sin grasa,Πατάτες και κονδύλοι,Η Τάνια ετοίμασε χωρίς λίπος,Patate e tuberi,Tannia ha preparato wo fat,Ziemniaki i bulwy,Tannia przygotowała bez tłuszczu,Krompir in gomolji,Tannia je pripravila brez maščobe
2316,Vegetables,Tannia leaves prepared wo fat,Groente,Tajerblad bereid z vet,,Tayerblad/boterblad,Grønnsaker,Tannia-blader tilberedt uten fett,Gemüse,"Tannia-Blätter, ohne Fett zubereitet",Verduras,Hojas de tannia preparadas sin grasa,Λαχανικά,"Φύλλα Τάννια, παρασκευασμένα χωρίς λίπος",Verdure,Foglie di tannia preparate senza grassi,Warzywa,Liście taniny przygotowane bez tłuszczu,Zelenjava,"Listi tanije, pripravljeni brez maščobe"
2317,Mixed dishes,Brown beans w rice Surinam,Samengestelde gerechten,Bruine bonen m rijst Surinaams,,Surinaamse BB+R,Blandede retter,Brune bønner med ris fra Surinam,Mischgerichte,Braune Bohnen mit Reis aus Surinam,Platos combinados,Alubias marrones con arroz de Surinam,Μικτά πιάτα,Καφέ φασόλια με ρύζι Σουρινάμ,Piatti misti,Fagioli marroni con riso del Suriname,Dania złożone,Brązowa fasola z ryżem z Surinamu,Mešane jedi,"Rjavi fižol z rižem, Surinam"
2318,Mixed dishes,Roti w white flour and potato,Samengestelde gerechten,Roti v bloem en aardappel,,Surinaams gerecht roti met aardappelvulling,Blandede retter,Roti med hvitt mel og potet,Mischgerichte,Roti aus Weißmehl und Kartoffeln,Platos combinados,Roti de harina blanca y patata,Μικτά πιάτα,Ρότι με λευκό αλεύρι και πατάτα,Piatti misti,Roti con farina bianca e patate,Dania złożone,Roti z białej mąki i ziemniaków,Mešane jedi,Roti iz bele moke in krompirja
2319,Mixed dishes,Sauce w yellow split peas Dahl Surinam,Samengestelde gerechten,Saus m gele spilterwten Dahl Surinaams,,,Blandede retter,Saus med gule splittede erter – Dahl Surinam,Mischgerichte,Soße mit gelben Spalterbsen – Dahl Surinam,Platos combinados,Salsa de guisantes amarillos partidos «Dahl Surinam»,Μικτά πιάτα,Σάλτσα με κίτρινα σπασμένα μπιζέλια Dahl Surinam,Piatti misti,Salsa con piselli gialli spezzati Dahl Surinam,Dania złożone,Sos z żółtego grochu łuskanego Dahl Surinam,Mešane jedi,Omaka z rumenim razpolovljenim grahom Dahl Surinam
2320,Mixed dishes,Casserol w tannia Pom Surinam,Samengestelde gerechten,Ovenschotel m pomtajer Pom Surinaams,,,Blandede retter,Casserol med tannia Pom Surinam,Mischgerichte,Auflauf mit Tannia Pom Surinam,Platos combinados,Cazuela con tannia Pom de Surinam,Μικτά πιάτα,Κασσερόλα με τανία Πομ Σουρινάμ,Piatti misti,Casserol con tannia Pom Surinam,Dania złożone,Casserol z tannią Pom Surinam,Mešane jedi,Casserol s tannia Pom Surinam
2321,Mixed dishes,Dish w veg and meat Moksi-alesi Surinam,Samengestelde gerechten,Groente-vlees schotel Moksi-alesi Surinaams,,,Blandede retter,Rett med grønnsaker og kjøtt Moksi-alesi Surinam,Mischgerichte,Gericht mit Gemüse und Fleisch „Moksi-alesi“ aus Surinam,Platos combinados,Plato con verduras y carne Moksi-alesi de Surinam,Μικτά πιάτα,Πιάτο με λαχανικά και κρέας Moksi-alesi Σουρινάμ,Piatti misti,Piatto con verdure e carne Moksi-alesi Suriname,Dania złożone,Danie z warzywami i mięsem Moksi-alesi Surinam,Mešane jedi,Jedi z zelenjavo in mesom Moksi-alesi Surinam
2322,Potatoes and tubers,Potatoes mashed instant prep w s-sk milk,Aardappelen en knolgewassen,Aardappelpuree instant- bereid m halfvolle melk,,,Poteter og knoller,"Potetmos, hurtigberedt med skummet melk",Kartoffeln und Knollen,"Kartoffelpüree, Instant, mit Kondensmilch",Patatas y tubérculos,Puré de patatas instantáneo con leche desnatada,Πατάτες και κονδύλοι,Πουρές πατάτας στιγμιαίας παρασκευής με γάλα,Patate e tuberi,Purè di patate istantaneo con latte scremato,Ziemniaki i bulwy,Ziemniaki puree instant z mlekiem skondensowanym,Krompir in gomolji,Krompirjev pire za takojšnjo pripravo z mlekom v prahu
2323,Potatoes and tubers,Potatoes mashed instant prepared w water,Aardappelen en knolgewassen,Aardappelpuree instant- bereid m water,Obv aardappelpureepoeder met melkpoeder en vet.,,Poteter og knoller,"Potetmos, instant, tilberedt med vann",Kartoffeln und Knollen,"Kartoffelpüree, Instant, mit Wasser zubereitet",Patatas y tubérculos,Puré de patatas instantáneo preparado con agua,Πατάτες και κονδύλοι,Πουρές πατάτας στιγμιαίας παρασκευής με νερό,Patate e tuberi,Purè di patate istantaneo preparato con acqua,Ziemniaki i bulwy,Ziemniaki puree instant przygotowane z dodatkiem wody,Krompir in gomolji,"Krompirjev pire iz instant mešanice, pripravljen z vodo"
2324,Potatoes and tubers,Potatoes mashed fresh prep w s-sk milk wo fat,Aardappelen en knolgewassen,Aardappelpuree vers bereid m halfvolle melk z vet,,,Poteter og knoller,"Potetmos, fersk tilberedning, med skummet melk uten fett",Kartoffeln und Knollen,"Kartoffelpüree, frisch zubereitet, mit fettarmer Milch",Patatas y tubérculos,Puré de patatas recién preparado con leche desnatada,Πατάτες και κονδύλοι,Πουρές πατάτας φρέσκιας παρασκευής με άπαχο γάλα,Patate e tuberi,Purè di patate fresco preparato con latte scremato,Ziemniaki i bulwy,"Ziemniaki puree, świeżo przygotowane, z chudym mlekiem",Krompir in gomolji,"Krompirjev pire, sveže pripravljen, z nemastnim mlekom"
2325,Potatoes and tubers,Potatoes boiled w skin av,Aardappelen en knolgewassen,Aardappelen m schil gekookt gem,,,Poteter og knoller,Kokte poteter med skall av,Kartoffeln und Knollen,"Kartoffeln, gekocht mit Schale, durchschnittlich",Patatas y tubérculos,"Patatas hervidas con piel, media",Πατάτες και κονδύλοι,"Πατάτες βρασμένες με τη φλούδα, μέσος όρος",Patate e tuberi,Patate lessate con la buccia av,Ziemniaki i bulwy,"Ziemniaki gotowane w skórkach, średnia",Krompir in gomolji,"Krompir, kuhan s kožico, av"
2326,Potatoes and tubers,Potato croquettes frozen unprepared,Aardappelen en knolgewassen,Aardappelkroketten diepvries onbereid,"Gem van Aviko, Albert Heijn en Harvest Basket.",,Poteter og knoller,"Frosne, ubehandlede potetkroketter",Kartoffeln und Knollen,"Kartoffelkroketten, tiefgefroren, unverarbeitet",Patatas y tubérculos,Croquetas de patata congeladas sin preparar,Πατάτες και κονδύλοι,"Κροκέτες πατάτας κατεψυγμένες, αμαγείρευτες",Patate e tuberi,Crocchette di patate surgelate non preparate,Ziemniaki i bulwy,"Krokiety ziemniaczane mrożone, nieprzygotowane",Krompir in gomolji,"Krompirjevi kroketi, zamrznjeni, nepripravljeni"
2329,Pastry and biscuits,Cake Dutch spiced Ontbijtkoek less sugar,Gebak en koek,Koek ontbijt- minder suiker,Gem van 6 verschillende merken.,Ontbijtkoek minder suiker,Kaker og kjeks,"Kake, nederlandsk krydret Ontbijtkoek med mindre sukker",Gebäck und Kekse,"Kuchen „Ontbijtkoek“ nach holländischer Art, weniger Zucker",Pastelería y galletas,Pastel holandés especiado Ontbijtkoek con menos azúcar,Ζαχαροπλαστική και μπισκότα,Κέικ ολλανδικό με μπαχαρικά Ontbijtkoek με λιγότερη ζάχαρη,Pasticceria e biscotti,Torta olandese speziata Ontbijtkoek a basso contenuto di zucchero,Wypieki i ciastka,Holenderskie ciasto korzenne Ontbijtkoek o obniżonej zawartości cukru,Sladice in piškoti,Nizozemski začinjeni kolač Ontbijtkoek z manj sladkorja
2331,Vegetables,Bami vegetables boiled,Groente,Bamigroenten gekookt,,Bamigroente bereid zonder vet/Bamipakket gekookt,Grønnsaker,Kokte bami-grønnsaker,Gemüse,Gekochtes Bami-Gemüse,Verduras,Verduras bami hervidas,Λαχανικά,Βρασμένα λαχανικά Bami,Verdure,Verdure Bami bollite,Warzywa,Warzywa bami gotowane,Zelenjava,Kuhana zelenjava Bami
2333,Meat and poultry,Minced meat raw av,Vlees en gevogelte,Gehakt rauw gem,,,Kjøtt og fjærfe,"Kjøttdeig, rå, av",Fleisch und Geflügel,"Hackfleisch, roh, av",Carne y aves,Carne picada cruda av,Κρέας και πουλερικά,Κιμάς ωμός av,Carne e pollame,Carne macinata cruda av,Mięso i drób,Mięso mielone surowe av,Meso in perutnina,"Mleto meso, surovo, av"
2334,Meat and poultry,Minced meat ball beef/pork raw w egg/brcrumbs,Vlees en gevogelte,Gehaktbal half-om-half m ei en paneermeel rauw,,Gehaktbal half om half m ei en paneermeel rauw,Kjøtt og fjærfe,"Kjøttboller av oksekjøtt/svinekjøtt, rå, med egg/brødsmuler",Fleisch und Geflügel,"Rind-/Schweine-Hackfleischbällchen, roh, mit Ei/Semmelbröseln",Carne y aves,Albóndigas de carne picada de ternera/cerdo cruda con huevo/pan rallado,Κρέας και πουλερικά,Κεφτεδάκια από κιμά βοδινού/χοιρινού κρέατος ωμά με αυγό/ψίχουλα,Carne e pollame,Polpette di carne macinata di manzo/maiale crude con uovo/pangrattato,Mięso i drób,"Klopsiki z mielonej wołowiny/wieprzowiny, surowe, z jajkiem/bułką tartą",Meso in perutnina,"Mleto meso za mesne kroglice iz govejega/svinjskega mesa, surovo, z jajcem/drobtinami"
2335,Meat and poultry,Meat av raw excl liver,Vlees en gevogelte,Vlees gem excl lever rauw,,,Kjøtt og fjærfe,"Kjøtt, rått, unntatt lever",Fleisch und Geflügel,"Fleisch, roh, ohne Leber",Carne y aves,"Carne cruda, excepto hígado",Κρέας και πουλερικά,"Κρέας, ωμό, εκτός συκωτιού",Carne e pollame,"Carne cruda, escluso il fegato",Mięso i drób,Mięso surowe z wyłączeniem wątroby,Meso in perutnina,"Meso, surovo, brez jeter"
2336,Meat and poultry,Beef av raw,Vlees en gevogelte,Rundvlees gem rauw,,,Kjøtt og fjærfe,"Oksekjøtt, rått",Fleisch und Geflügel,"Rindfleisch, roh",Carne y aves,Carne de vacuno cruda,Κρέας και πουλερικά,"Βόειο κρέας, ωμό",Carne e pollame,Carne bovina cruda,Mięso i drób,Wołowina surowa,Meso in perutnina,"Goveje meso, surovo"
2337,Meat and poultry,Minced beef ball raw w egg and breadcrumbs,Vlees en gevogelte,Gehaktbal runder- m ei en paneermeel rauw,,Rundergehaktbal  met ei en paneermeel rauw,Kjøtt og fjærfe,Rå kjøttboller av kjøttdeig med egg og brødsmuler,Fleisch und Geflügel,Rohes Rinderhackfleischbällchen mit Ei und Semmelbröseln,Carne y aves,Albóndigas de ternera picada crudas con huevo y pan rallado,Κρέας και πουλερικά,Κυλινδράκια από κιμά βοδινού ωμά με αυγό και φρυγανιά,Carne e pollame,Polpetta di carne macinata cruda con uovo e pangrattato,Mięso i drób,Surowe klopsiki z mielonej wołowiny z jajkiem i bułką tartą,Meso in perutnina,Surova mesna kroglica iz mletega govejega mesa z jajcem in drobtinami
2339,Meat and poultry,Beef olives raw,Vlees en gevogelte,Vink runder- rauw,,Rundervink rauw,Kjøtt og fjærfe,Rå oksekjøttbiter,Fleisch und Geflügel,"Rinderoliven, roh",Carne y aves,Olivas de ternera crudas,Κρέας και πουλερικά,Ελιές με βόειο κρέας ωμές,Carne e pollame,Olive di manzo crude,Mięso i drób,Surowe oliwki wołowe,Meso in perutnina,Surove goveje oljke
2340,Meat and poultry,Pork schnitzel breaded raw,Vlees en gevogelte,Varkensschnitzel gepaneerd rauw,,,Kjøtt og fjærfe,"Rå, panert svineschnitzel",Fleisch und Geflügel,"Schweineschnitzel, paniert, roh",Carne y aves,Escalope de cerdo empanado crudo,Κρέας και πουλερικά,"Σνίτσελ χοιρινού κρέατος με παναρίσματος, ωμό",Carne e pollame,Cotoletta di maiale impanata cruda,Mięso i drób,"Szelet wieprzowy panierowany, surowy",Meso in perutnina,Surov svinjski zrezek v panadi
2341,Meat and poultry,Chicken fillet breaded raw,Vlees en gevogelte,Kipfilet gepaneerd rauw,,,Kjøtt og fjærfe,"Panert kyllingfilet, rå",Fleisch und Geflügel,"Paniertes Hähnchenfilet, roh",Carne y aves,Filete de pollo empanado crudo,Κρέας και πουλερικά,Φιλέτο κοτόπουλου παναρισμένο ωμό,Carne e pollame,Filetto di pollo impanato crudo,Mięso i drób,Surowe filety z kurczaka w panierce,Meso in perutnina,Surov piščančji file v panadi
2342,Meat and poultry,Chicken fillet in batter raw,Vlees en gevogelte,Kipfilet omhuld m beslag rauw,,,Kjøtt og fjærfe,"Kyllingfilet i røre, rå",Fleisch und Geflügel,"Hähnchenfilet im Teigmantel, roh",Carne y aves,Filete de pollo rebozado crudo,Κρέας και πουλερικά,"Φιλέτο κοτόπουλου με κουρκούτι, ωμό",Carne e pollame,"Filetto di pollo in pastella, crudo",Mięso i drób,Surowe filety z kurczaka w panierce,Meso in perutnina,"Piščančji file v testu, surov"
2343,Milk and milk products,Jelly,Melk en melkproducten,Pudding gelatine-,,Gelatinepudding,Melk og melkeprodukter,Gelé,Milch und Milchprodukte,Gelee,Leche y productos lácteos,Gelatina,Γάλα και γαλακτοκομικά προϊόντα,Ζελέ,Latte e prodotti lattiero-caseari,Gelatina,Mleko i produkty mleczne,Galaretka,Mleko in mlečni izdelki,Žele
2344,Meat and poultry,Pork filled w ham and cheese raw,Vlees en gevogelte,Varkens cordon bleu rauw,,,Kjøtt og fjærfe,Rå svinekjøtt fylt med skinke og ost,Fleisch und Geflügel,"Schweinefleisch, gefüllt mit Schinken und Käse, roh",Carne y aves,"Carne de cerdo rellena de jamón y queso, cruda",Κρέας και πουλερικά,"Χοιρινό γεμιστό με ζαμπόν και τυρί, ωμό",Carne e pollame,Carne di maiale cruda ripiena di prosciutto e formaggio,Mięso i drób,"Wieprzowina nadziewana szynką i serem, surowa",Meso in perutnina,"Surovo svinjsko meso, polnjeno s šunko in sirom"
2345,Nuts and seeds,Peanuts sugar coated,Noten en zaden,Pinda's suiker-,,Suikerpinda's/gesuikerde pinda's/aardnoten,Nøtter og frø,Peanøtter med sukkerovertrekk,Nüsse und Samen,Zuckerüberzogene Erdnüsse,Frutos secos y semillas,Cacahuetes recubiertos de azúcar,Ξηροί καρποί και σπόροι,Φιστίκια με επικάλυψη ζάχαρης,Frutta secca e semi,Arachidi ricoperte di zucchero,Orzechy i nasiona,Orzeszki ziemne w cukrowej panierce,Oreški in semena,"Arašidi, obliti s sladkorjem"
2346,Vegetables,Lettuce av raw,Groente,Sla gem rauw,,,Grønnsaker,"Salat, rå",Gemüse,"Salat, roh",Verduras,Lechuga cruda,Λαχανικά,"Μαρούλι, ωμό",Verdure,Lattuga cruda,Warzywa,Sałata surowa,Zelenjava,"Solata, surova"
2347,Cereal products and types of flour,Tortellini boiled,Graanproducten en meelsoorten,Tortellini gekookt,"Gem van tortellini met groente, vlees en kaas.",,Kornprodukter og meltyper,Kokt tortellini,Getreideprodukte und Mehlsorten,Gekochte Tortellini,Productos de cereales y tipos de harina,Tortellini hervidos,Προϊόντα δημητριακών και είδη αλεύρων,Βρασμένα τορτελίνια,Prodotti a base di cereali e tipi di farina,Tortellini lessati,Produkty zbożowe i rodzaje mąki,Tortellini gotowane,Žitni izdelki in vrste moke,Kuhani tortellini
2348,Bread,Wheat bread wholemeal av fine and coarse w pumpkin seeds,Brood,Tarwebrood volkoren gem v fijn en grof m pompoenpitten,,Volkorenbrood m pompoenpitten,Brød,"Hvetebrød, fullkornsbrød, av fin og grov type, med gresskarfrø",Brot,"Vollkornweizenbrot, fein und grob gemahlen, mit Kürbiskernen",Pan,"Pan de trigo integral, de grano fino y grueso, con semillas de calabaza",Ψωμί,"Ψωμί σίτου ολικής άλεσης, με λεπτούς και χονδρούς κόκκους, με σπόρους κολοκύθας",Pane,Pane integrale di grano tenero e duro con semi di zucca,Chleb,Chleb pszenny pełnoziarnisty z drobnymi i grubymi ziarnami oraz pestkami dyni,Kruh,Polnozrnati pšenični kruh iz fine in grobe moke z bučnimi semeni
