code,en,no,de,el,es,it,nl,pl,sl
A02SV,Firm/semi-hard cheese (gouda and edam type),Halvfast ost (gouda- og edamtype),Schnittkäse (Gouda- und Edamer-Typ),Ημίσκληρο τυρί (τύπου γκούντα),Queso semiduro (tipo gouda y edam),Formaggio semiduro (tipo gouda ed edam),Halfharde kaas (goudse en edammer),Ser półtwardy (typu gouda i edam),Poltrdi sir (vrste gauda in edamec)
A02YE,"Hard cheese (cheddar, emmental type)",Fast ost (cheddar- og emmentaltype),Hartkäse (Cheddar- und Emmentaler-Typ),Σκληρό τυρί (τύπου τσένταρ),Queso duro (tipo cheddar y emmental),Formaggio duro (tipo cheddar ed emmental),Harde kaas (cheddar en emmentaler),Ser twardy (typu cheddar i ementaler),Trdi sir (vrste čedar in ementalec)
A02ZH,"Extra hard cheese (parmesan, grana type)",Ekstra fast ost (parmesantype),Extrahartkäse (Parmesan-Typ),Πολύ σκληρό τυρί (τύπου παρμεζάνα),Queso extraduro (tipo parmesano),Formaggio a pasta dura (tipo grana),Extra harde kaas (parmezaan),Ser bardzo twardy (typu parmezan),Zelo trdi sir (vrste parmezan)
A030B,Firm-ripened blue mould-veined cheese,Blåmuggost,Blauschimmelkäse,Τυρί με γαλάζια μούχλα,Queso azul,Formaggio erborinato,Blauwaderkaas,Ser pleśniowy niebieski,Sir z modro plesnijo
A030Z,"Firm-ripened cheese with added herbs, spices or other ingredients",Fast ost med urter og krydder,Schnittkäse mit Kräutern und Gewürzen,Τυρί με βότανα και μπαχαρικά,Queso curado con hierbas y especias,Formaggio stagionato con erbe e spezie,Gerijpte kaas met kruiden en specerijen,Ser dojrzewający z ziołami i przyprawami,Zoreni sir z zelišči in začimbami
A031A,Processed cheese and spreads,Smelteost og ostepålegg,Schmelzkäse und Käsezubereitungen,Τυρί λιωμένο και επαλείψιμο,Queso fundido y untables,Formaggio fuso e spalmabile,Smeltkaas en kaasspreads,Ser topiony i pasty serowe,Topljeni sir in sirni namazi
A031B,"Processed cheese, sliceable",Smelteost i skiver,Schmelzkäse in Scheiben,Τυρί λιωμένο σε φέτες,Queso fundido en lonchas,Formaggio fuso a fette,Smeltkaas in plakken,Ser topiony w plastrach,Topljeni sir v rezinah
A031C,"Processed cheese, spreadable",Smørbar smelteost,Streichschmelzkäse,Τυρί λιωμένο επαλείψιμο,Queso fundido untable,Formaggio fuso spalmabile,Smeerbare smeltkaas,Ser topiony smarowny,Mazavi topljeni sir
A031D,Processed cheese wedges and similar,Smelteost i porsjoner,Schmelzkäseecken,Τυρί λιωμένο σε μερίδες,Porciones de queso fundido,Formaggino a porzioni,Smeltkaaspunten,Serki topione w trójkącikach,Topljeni sir v trikotnikih
A031G,Hen eggs,Hønseegg,Hühnereier,Αυγά κότας,Huevos de gallina,Uova di gallina,Kippeneieren,Jaja kurze,Kokošja jajca
A031S,Hen egg yolk,Eggeplomme,Eigelb,Κρόκος αυγού,Yema de huevo,Tuorlo d'uovo,Eigeel,Żółtko jaja,Jajčni rumenjak
A031T,Hen egg white,Eggehvite,Eiklar,Ασπράδι αυγού,Clara de huevo,Albume d'uovo,Eiwit,Białko jaja,Jajčni beljak
A031X,"Hen egg mixed whole, dried",Tørket helegg,Volleipulver,Αυγό ολόκληρο αποξηραμένο,Huevo entero deshidratado,Uovo intero essiccato,Heelei poeder,Jajo całe w proszku,Celo jajce v prahu
A032B,Boiled eggs,Kokte egg,Gekochte Eier,Αυγά βραστά,Huevos cocidos,Uova sode,Gekookte eieren,Jaja gotowane,Kuhana jajca
A032C,Fried eggs,Stekte egg,Spiegeleier,Αυγά τηγανητά,Huevos fritos,Uova fritte,Gebakken eieren,Jaja smażone,Ocvrta jajca
A032H,Sucrose (common sugar),Sukrose,Saccharose,Σακχαρόζη,Sacarosa,Saccarosio,Sacharose,Sacharoza,Saharoza
A032T,Fructose,Fruktose,Fructose,Φρουκτόζη,Fructosa,Fruttosio,Fructose,Fruktoza,Fruktoza
A032V,Glucose,Glukose,Glucose,Γλυκόζη,Glucosa,Glucosio,Glucose,Glukoza,Glukoza
A033J,Honey,Honning,Honig,Μέλι,Miel,Miele,Honing,Miód,Med
A033Z,Syrups,Sirup,Sirupe,Σιρόπια,Siropes,Sciroppi,Stroop,Syropy,Sirupi
A034G,Bitter chocolate,Mørk sjokolade,Zartbitterschokolade,Μαύρη σοκολάτα,Chocolate negro,Cioccolato fondente,Pure chocolade,Czekolada gorzka,Temna čokolada
A034J,Milk chocolate,Melkesjokolade,Milchschokolade,Σοκολάτα γάλακτος,Chocolate con leche,Cioccolato al latte,Melkchocolade,Czekolada mleczna,Mlečna čokolada
A034P,White chocolate,Hvit sjokolade,Weiße Schokolade,Λευκή σοκολάτα,Chocolate blanco,Cioccolato bianco,Witte chocolade,Czekolada biała,Bela čokolada
A034Q,Filled chocolate,Fylt sjokolade,Gefüllte Schokolade,Σοκολάτα με γέμιση,Chocolate relleno,Cioccolato ripieno,Gevulde chocolade,Czekolada nadziewana,Polnjena čokolada
A034R,Chocolate coated confectionery,Sjokoladetrukket konfekt,Schokoladenüberzogene Süßwaren,Ζαχαρώδη με επικάλυψη σοκολάτας,Confitería bañada en chocolate,Dolciumi ricoperti di cioccolato,Met chocolade omhulde snoep,Wyroby w polewie czekoladowej,Slaščice v čokoladnem oblivu
A034S,Pralines,Konfekt,Pralinen,Πραλίνες,Bombones,Praline,Bonbons,Praliny,Pralineji
A034X,Hard candies,Drops,Bonbons,Καραμέλες σκληρές,Caramelos duros,Caramelle dure,Zuurtjes,Cukierki twarde,Trdi bonboni
A034Y,Marzipan,Marsipan,Marzipan,Αμυγδαλόπαστα,Mazapán,Marzapane,Marsepein,Marcepan,Marcipan
A035B,Toffee,Karamell,Toffee,Καραμέλα τόφι,Toffee,Toffee,Toffee,Toffi,Toffi
A035C,Fudge,Fudge,Fudge,Φαντζ,Fudge,Fudge,Fudge,Krówki,Fudge
A035D,Nougat,Nougat,Nougat,Νουγκά,Turrón,Torrone,Noga,Nugat,Nugat
A035H,Foamed sugar products (marshmallows),Marshmallows,Schaumzuckerwaren,Ζαχαρώδη αφρού (μαρσμέλοου),Nubes de azúcar,Marshmallow,Spekjes,Pianki cukrowe,Penasti bonboni
A035J,Liquorice candies,Lakris,Lakritz,Καραμέλες γλυκόριζας,Regaliz,Liquirizia,Drop,Cukierki lukrecjowe,Sladki koren bonboni
A035L,Jelly candies,Vingummi,Fruchtgummi,Ζελεδάκια,Gominolas,Caramelle gommose,Winegums,Żelki,Želejni bonboni
A035M,Chewing gum,Tyggegummi,Kaugummi,Τσίχλα,Chicle,Gomma da masticare,Kauwgom,Guma do żucia,Žvečilni gumi
A035N,Basic sweet masses,Grunnmasser til konfekt,Süße Grundmassen,Βασικές γλυκές μάζες,Masas dulces base,Paste dolci di base,Basis zoete massa's,Podstawowe masy cukiernicze,Osnovne sladke mase
A036F,Water-based desserts spoonable,Vannbaserte desserter,Desserts auf Wasserbasis,Επιδόρπια με βάση το νερό,Postres a base de agua,Dessert a base d'acqua,Desserts op waterbasis,Desery na bazie wody,Sladice na osnovi vode
A036H,Gelatine dessert,Gelédessert,Geleedessert,Επιδόρπιο ζελατίνης,Postre de gelatina,Dessert di gelatina,Geleidessert,Deser żelatynowy,Želatinasta sladica
A036J,Water-based ice creams,Vannis,Wassereis,Παγωτά νερού,Helados de agua,Ghiaccioli,Waterijs,Lody wodne,Vodni sladoledi
A036K,Sorbet,Sorbet,Sorbet,Σορμπέ,Sorbete,Sorbetto,Sorbet,Sorbet,Sorbet
A036N,"Vegetable fats and oils, edible",Vegetabilske fett og oljer,Pflanzliche Fette und Öle,Φυτικά λίπη και έλαια,Grasas y aceites vegetales,Grassi e oli vegetali,Plantaardige vetten en oliën,Tłuszcze i oleje roślinne,Rastlinske maščobe in olja
A036P,Olive oils,Olivenolje,Olivenöl,Ελαιόλαδο,Aceite de oliva,Olio d'oliva,Olijfolie,Oliwa z oliwek,Oljčno olje
A036T,Seed oils,Frøoljer,Samenöle,Σπορέλαια,Aceites de semillas,Oli di semi,Zaadoliën,Oleje z nasion,Olja iz semen
A036V,"Rape seed oil, edible",Rapsolje,Rapsöl,Κραμβέλαιο,Aceite de colza,Olio di colza,Koolzaadolie,Olej rzepakowy,Olje oljne ogrščice
A036X,"Soya bean oil, refined",Soyaolje,Sojaöl,Σογιέλαιο,Aceite de soja,Olio di soia,Sojaolie,Olej sojowy,Sojino olje
A036Y,"Maize oil, edible",Maisolje,Maiskeimöl,Καλαμποκέλαιο,Aceite de maíz,Olio di mais,Maïsolie,Olej kukurydziany,Koruzno olje
A037A,"Peanut oil, edible",Peanøttolje,Erdnussöl,Αραχιδέλαιο,Aceite de cacahuete,Olio di arachidi,Pindaolie,Olej arachidowy,Arašidovo olje
A037B,"Safflower seed oil, edible",Saflorolje,Distelöl,Καρθαμέλαιο,Aceite de cártamo,Olio di cartamo,Saffloerolie,Olej krokoszowy,Žafranikino olje
A037C,"Sesame seed oil, edible",Sesamolje,Sesamöl,Σησαμέλαιο,Aceite de sésamo,Olio di sesamo,Sesamolie,Olej sezamowy,Sezamovo olje
A037D,"Sunflower seed oil, edible",Solsikkeolje,Sonnenblumenöl,Ηλιέλαιο,Aceite de girasol,Olio di girasole,Zonnebloemolie,Olej słonecznikowy,Sončnično olje
A037G,Linseed oil,Linfrøolje,Leinöl,Λινέλαιο,Aceite de linaza,Olio di lino,Lijnzaadolie,Olej lniany,Laneno olje
A037L,Other plant oils,Andre planteoljer,Andere Pflanzenöle,Άλλα φυτικά έλαια,Otros aceites vegetales,Altri oli vegetali,Overige plantaardige oliën,Inne oleje roślinne,Druga rastlinska olja
A037M,Coconut oil/fat,Kokosolje,Kokosfett,Λάδι καρύδας,Aceite de coco,Olio di cocco,Kokosvet,Olej kokosowy,Kokosovo olje
A037N,Palm oil/fat,Palmeolje,Palmfett,Φοινικέλαιο,Aceite de palma,Olio di palma,Palmvet,Olej palmowy,Palmovo olje
A037P,"Palm kernel oil, edible",Palmekjerneolje,Palmkernöl,Λάδι πυρήνα φοίνικα,Aceite de palmiste,Olio di palmisto,Palmpittenolie,Olej z ziaren palmowych,Olje palmovih jedrc
A037V,Pork lard,Svinefett,Schweineschmalz,Χοιρινό λίπος,Manteca de cerdo,Strutto,Reuzel,Smalec wieprzowy,Svinjska mast
A037X,Beef tallow (including processed suet),Oksetalg,Rindertalg,Βόειο λίπος,Sebo de vacuno,Sego di bovino,Rundervet,Łój wołowy,Goveji loj
A038F,"Chicken fat, processed",Kyllingfett,Hühnerfett,Λίπος κοτόπουλου,Grasa de pollo,Grasso di pollo,Kippenvet,Tłuszcz z kurczaka,Piščančja maščoba
A039C,Butter,Smør,Butter,Βούτυρο,Mantequilla,Burro,Boter,Masło,Maslo
A039M,"Juice, apple",Eplejuice,Apfelsaft,Χυμός μήλου,Zumo de manzana,Succo di mela,Appelsap,Sok jabłkowy,Jabolčni sok
A039R,"Juice, red currant",Ripsjuice,Johannisbeersaft,Χυμός φραγκοστάφυλου,Zumo de grosella roja,Succo di ribes rosso,Rode bessensap,Sok z czerwonej porzeczki,Sok rdečega ribeza
A03AC,"Juice, pear",Pærejuice,Birnensaft,Χυμός αχλαδιού,Zumo de pera,Succo di pera,Perensap,Sok gruszkowy,Hruškov sok
A03AF,"Juice, pineapple",Ananasjuice,Ananassaft,Χυμός ανανά,Zumo de piña,Succo di ananas,Ananassap,Sok ananasowy,Ananasov sok
A03AH,"Juice, lemon",Sitronjuice,Zitronensaft,Χυμός λεμονιού,Zumo de limón,Succo di limone,Citroensap,Sok cytrynowy,Limonin sok
A03AK,"Juice, grape",Druejuice,Traubensaft,Χυμός σταφυλιού,Zumo de uva,Succo d'uva,Druivensap,Sok winogronowy,Grozdni sok
A03AL,"Juice, grapefruit",Grapefruktjuice,Grapefruitsaft,Χυμός γκρέιπφρουτ,Zumo de pomelo,Succo di pompelmo,Grapefruitsap,Sok grejpfrutowy,Grenivkin sok
A03AM,"Juice, orange",Appelsinjuice,Orangensaft,Χυμός πορτοκαλιού,Zumo de naranja,Succo d'arancia,Sinaasappelsap,Sok pomarańczowy,Pomarančni sok
A03AN,Mixed fruit juice,Blandet fruktjuice,Mehrfruchtsaft,Χυμός φρούτων ανάμεικτος,Zumo de frutas mixto,Succo di frutta misto,Gemengd vruchtensap,Sok wieloowocowy,Mešani sadni sok
A03BB,Fruit nectars (min. 25-50% fruit as defined in EU legislation),Fruktnektar,Fruchtnektar,Νέκταρ φρούτων,Néctares de fruta,Nettari di frutta,Vruchtennectar,Nektary owocowe,Sadni nektarji
A03BD,"Nectar, apple",Eplenektar,Apfelnektar,Νέκταρ μήλου,Néctar de manzana,Nettare di mela,Appelnectar,Nektar jabłkowy,Jabolčni nektar
A03BL,Mixed fruit nectars,Blandet fruktnektar,Mehrfruchtnektar,Νέκταρ φρούτων ανάμεικτο,Néctares de frutas mixtas,Nettari di frutta misti,Gemengde vruchtennectar,Nektary wieloowocowe,Mešani sadni nektarji
A03BN,Fruit juice concentrates,Fruktjuicekonsentrat,Fruchtsaftkonzentrate,Συμπυκνωμένοι χυμοί φρούτων,Concentrados de zumo de fruta,Concentrati di succo di frutta,Vruchtensapconcentraten,Koncentraty soków owocowych,Koncentrati sadnih sokov
A03CJ,"Juice, tomato",Tomatjuice,Tomatensaft,Χυμός ντομάτας,Zumo de tomate,Succo di pomodoro,Tomatensap,Sok pomidorowy,Paradižnikov sok
A03CK,"Juice, carrot",Gulrotjuice,Karottensaft,Χυμός καρότου,Zumo de zanahoria,Succo di carota,Wortelsap,Sok marchwiowy,Korenčkov sok
A03CM,"Juice, beetroot",Rødbetjuice,Rote-Bete-Saft,Χυμός παντζαριού,Zumo de remolacha,Succo di barbabietola,Bietensap,Sok z buraków,Sok rdeče pese
A03CN,"Juice, white cabbage",Hvitkåljuice,Weißkohlsaft,Χυμός λάχανου,Zumo de col blanca,Succo di cavolo cappuccio,Witte koolsap,Sok z kapusty białej,Sok belega zelja
A03CS,Mixed vegetable juice,Blandet grønnsaksjuice,Gemüsesaft gemischt,Χυμός λαχανικών ανάμεικτος,Zumo de verduras mixto,Succo di verdure misto,Gemengd groentesap,Sok warzywny mieszany,Mešani zelenjavni sok
A03DE,Mixed juices with added ingredients,Blandet juice med tilsetninger,Mischsäfte mit Zutaten,Ανάμεικτοι χυμοί με πρόσθετα,Zumos mixtos con ingredientes añadidos,Succhi misti con ingredienti aggiunti,Gemengde sappen met toevoegingen,Soki mieszane z dodatkami,Mešani sokovi z dodatki
A03DF,Fruit smoothies,Fruktsmoothies,Frucht-Smoothies,Σμούθι φρούτων,Smoothies de fruta,Frullati di frutta,Vruchtensmoothies,Smoothie owocowe,Sadni smutiji
A03DL,Tap water,Springvann,Leitungswasser,Νερό βρύσης,Agua del grifo,Acqua di rubinetto,Kraanwater,Woda wodociągowa,Vodovodna voda
A03DQ,Natural mineral water,Naturlig mineralvann,Natürliches Mineralwasser,Φυσικό μεταλλικό νερό,Agua mineral natural,Acqua minerale naturale,Natuurlijk mineraalwater,Naturalna woda mineralna,Naravna mineralna voda
A03EA,"Soft drink, with fruit juice (fruit content below the minimum for nectars)",Leskedrikk med fruktjuice,Erfrischungsgetränk mit Fruchtsaft,Αναψυκτικό με χυμό φρούτων,Refresco con zumo de fruta,Bibita con succo di frutta,Frisdrank met vruchtensap,Napój gazowany z sokiem owocowym,Brezalkoholna pijača s sadnim sokom
A03EX,"Soft drink, flavoured, no fruit",Leskedrikk uten frukt,Erfrischungsgetränk ohne Frucht,Αναψυκτικό χωρίς φρούτα,Refresco sin fruta,Bibita senza frutta,Frisdrank zonder vruchtensap,Napój gazowany bez owoców,Brezalkoholna pijača brez sadja
A03FQ,Cola-type drinks,Colabrus,Cola-Getränke,Αναψυκτικά τύπου κόλα,Refrescos de cola,Bevande tipo cola,Coladranken,Napoje typu cola,Pijače vrste kola
A03GA,Energy drinks,Energidrikker,Energydrinks,Ενεργειακά ποτά,Bebidas energéticas,Bevande energetiche,Energiedranken,Napoje energetyczne,Energijske pijače
A03GB,Isotonic and sport drinks,Sportsdrikker,Isotonische und Sportgetränke,Ισοτονικά και αθλητικά ποτά,Bebidas isotónicas y deportivas,Bevande isotoniche e sportive,Sportdranken,Napoje izotoniczne i sportowe,Izotonične in športne pijače
A03GE,Liquid drink bases (including concentrates and home-made preparations),Flytende saftkonsentrat,Flüssige Getränkegrundlagen,Υγρές βάσεις ροφημάτων,Bases líquidas para bebidas,Basi liquide per bevande,Vloeibare drankbasis,Płynne bazy do napojów,Tekoče osnove za napitke
A03GF,Powdered drink bases,Pulver til drikke,Getränkepulver,Σκόνες για ροφήματα,Bases en polvo para bebidas,Basi in polvere per bevande,Drankpoeders,Bazy do napojów w proszku,Osnove za napitke v prahu
A03HH,"Cocoa beverage-preparation, powder",Kakaopulver til drikke,Kakaogetränkepulver,Σκόνη ροφήματος κακάο,Preparado de cacao en polvo,Preparato di cacao in polvere,Cacaodrankpoeder,Kakao w proszku do napojów,Kakavov napitek v prahu
A03KA,Coffee beverages,Kaffedrikker,Kaffeegetränke,Ροφήματα καφέ,Bebidas de café,Bevande al caffè,Koffiedranken,Napoje kawowe,Kavni napitki
A03KY,Cocoa beverages,Kakaodrikker,Kakaogetränke,Ροφήματα κακάο,Bebidas de cacao,Bevande al cacao,Cacaodranken,Napoje kakaowe,Kakavovi napitki
A03LB,Tea beverages,Tedrikker,Teegetränke,Ροφήματα τσαγιού,Bebidas de té,Bevande al tè,Theedranken,Napoje herbaciane,Čajni napitki
A03LG,Herbal and other non-tea infusions,Urtete,Kräutertees,Αφεψήματα βοτάνων,Infusiones de hierbas,Infusi di erbe,Kruidenthee,Napary ziołowe,Zeliščni poparki
A03MC,Lager beer,Pils,Lagerbier,Μπίρα λάγκερ,Cerveza lager,Birra lager,Pils,Piwo jasne pełne,Ležak
A03MH,Ale beer,Ale,Ale,Μπίρα έιλ,Cerveza ale,Birra ale,Ale,Piwo ale,Ale
A03MM,Wheat beer,Hveteøl,Weizenbier,Μπίρα σίτου,Cerveza de trigo,Birra di frumento,Witbier,Piwo pszeniczne,Pšenično pivo
A03MQ,Shandy,Ølblanding med brus,Radler,Μπίρα με λεμονάδα,Clara de cerveza,Birra e limonata,Radler,Piwo z lemoniadą,Radler
A03MR,Mixed beer drinks,Ølblandinger,Biermischgetränke,Ανάμεικτα ποτά μπίρας,Bebidas mixtas de cerveza,Bevande miste a base di birra,Biermixdranken,Napoje piwne mieszane,Mešane pivske pijače
A03MT,Wine,Vin,Wein,Κρασί,Vino,Vino,Wijn,Wino,Vino
A03MV,"Wine, white",Hvitvin,Weißwein,Λευκό κρασί,Vino blanco,Vino bianco,Witte wijn,Wino białe,Belo vino
A03MX,"Wine, red",Rødvin,Rotwein,Κόκκινο κρασί,Vino tinto,Vino rosso,Rode wijn,Wino czerwone,Rdeče vino
A03MY,"Wine, rosé",Rosévin,Roséwein,Ροζέ κρασί,Vino rosado,Vino rosato,Rosé wijn,Wino różowe,Rosé vino
A03ND,Cider,Sider,Apfelwein,Μηλίτης,Sidra,Sidro,Cider,Cydr,Jabolčnik
A03NG,Fortified and liqueur wines,Sterkvin,Likörweine,Ενισχυμένοι οίνοι,Vinos generosos y de licor,Vini liquorosi,Versterkte wijn,Wina wzmacniane,Likerska vina
A03NH,Vermouth,Vermut,Wermut,Βερμούτ,Vermut,Vermut,Vermout,Wermut,Vermut
A03NJ,Sherry,Sherry,Sherry,Σέρι,Jerez,Sherry,Sherry,Sherry,Sherry
A03NK,Madeira,Madeira,Madeira,Μαδέρα,Madeira,Madeira,Madeira,Madera,Madeira
A03NL,Port,Portvin,Portwein,Πόρτο,Oporto,Porto,Port,Porto,Porto
A03NS,Liqueurs,Likører,Liköre,Λικέρ,Licores,Liquori,Likeuren,Likiery,Likerji
A03NT,Fruit liqueur,Fruktlikør,Fruchtlikör,Λικέρ φρούτων,Licor de frutas,Liquore alla frutta,Vruchtenlikeur,Likier owocowy,Sadni liker
A03NV,Herb liqueur,Urtelikør,Kräuterlikör,Λικέρ βοτάνων,Licor de hierbas,Liquore alle erbe,Kruidenlikeur,Likier ziołowy,Zeliščni liker
A03NZ,Egg liqueur,Eggelikør,Eierlikör,Λικέρ αυγού,Licor de huevo,Liquore all'uovo,Advocaat,Likier jajeczny,Jajčni liker
A03PA,Cream liqueur,Fløtelikør,Sahnelikör,Λικέρ κρέμας,Licor de crema,Liquore alla crema,Roomlikeur,Likier śmietankowy,Smetanov liker
A03PN,Cocktail drink,Cocktail,Cocktail,Κοκτέιλ,Cóctel,Cocktail,Cocktail,Koktajl,Koktajl
A03PQ,Other mixed alcoholic drinks,Andre blandede alkoholdrikker,Andere alkoholische Mischgetränke,Άλλα ανάμεικτα αλκοολούχα ποτά,Otras bebidas alcohólicas mixtas,Altre bevande alcoliche miste,Overige gemengde alcoholdranken,Inne mieszane napoje alkoholowe,Druge mešane alkoholne pijače
A03QE,"Infant formulae, liquid",Morsmelkerstatning flytende,Säuglingsanfangsnahrung flüssig,Βρεφικό γάλα υγρό,Preparado para lactantes líquido,Latte per lattanti liquido,Zuigelingenvoeding vloeibaar,Mleko początkowe płynne,Začetna mlečna formula tekoča
A03QQ,"Follow-on formulae, liquid",Tilskuddsblanding flytende,Folgenahrung flüssig,Γάλα δεύτερης βρεφικής ηλικίας υγρό,Preparado de continuación líquido,Latte di proseguimento liquido,Opvolgmelk vloeibaar,Mleko następne płynne,Nadaljevalna mlečna formula tekoča
A03QY,Simple cereals which have to be reconstituted with milk or other appropriate nutritious liquids,Barnegrøt til utblanding,Getreidebreie zum Anrühren,Κρέμες δημητριακών προς ανασύσταση,Cereales infantiles para reconstituir,Cereali per l'infanzia da ricostituire,Babygranen om aan te maken,Kaszki zbożowe do przygotowania,Otroške žitne kaše za pripravo
A03RA,"Biscuits, rusks and cookies for children",Barnekjeks,Kinderkekse und Zwieback,Μπισκότα και παξιμάδια για παιδιά,Galletas infantiles,Biscotti per l'infanzia,Kinderkoekjes,Herbatniki dla dzieci,Otroški keksi in prepečenec
A03RC,Ready-to-eat meal for infants and young children,Ferdigmat for spedbarn og småbarn,Fertiggerichte für Säuglinge und Kleinkinder,Έτοιμα γεύματα για βρέφη και νήπια,Comidas preparadas infantiles,Pasti pronti per lattanti e bambini,Kant-en-klaarmaaltijd voor baby's,Gotowe posiłki dla niemowląt i małych dzieci,Pripravljeni obroki za dojenčke in malčke
A03RD,Ready-to-eat vegetable-based meal for children,Ferdigmat med grønnsaker for barn,Fertiggerichte auf Gemüsebasis für Kinder,Έτοιμα γεύματα λαχανικών για παιδιά,Comidas infantiles a base de verduras,Pasti pronti a base di verdure per bambini,Kant-en-klaarmaaltijd op groentebasis voor kinderen,Gotowe posiłki warzywne dla dzieci,Pripravljeni zelenjavni obroki za otroke
A03RH,Ready-to-eat dairy-based meal for children,Ferdigmat med melk for barn,Fertiggerichte auf Milchbasis für Kinder,Έτοιμα γεύματα γάλακτος για παιδιά,Comidas infantiles a base de lácteos,Pasti pronti a base di latte per bambini,Kant-en-klaarmaaltijd op zuivelbasis voor kinderen,Gotowe posiłki mleczne dla dzieci,Pripravljeni mlečni obroki za otroke
A03RJ,Ready-to-eat fruit-based meal for children,Ferdigmat med frukt for barn,Fertiggerichte auf Obstbasis für Kinder,Έτοιμα γεύματα φρούτων για παιδιά,Comidas infantiles a base de frutas,Pasti pronti a base di frutta per bambini,Kant-en-klaarmaaltijd op fruitbasis voor kinderen,Gotowe posiłki owocowe dla dzieci,Pripravljeni sadni obroki za otroke
A03RV,Single meal replacement for weight reduction,Måltidserstatning for vektreduksjon,Mahlzeitersatz zur Gewichtsreduktion,Υποκατάστατο γεύματος για απώλεια βάρους,Sustitutivo de comidas para control de peso,Sostituto del pasto per il controllo del peso,Maaltijdvervanger voor gewichtsbeheersing,Zamiennik posiłku do kontroli masy ciała,Nadomestek obroka za uravnavanje telesne teže
A03SH,Oral rehydration products,Oral rehydreringsvæske,Orale Rehydratationslösungen,Προϊόντα ενυδάτωσης από το στόμα,Productos de rehidratación oral,Prodotti per la reidratazione orale,Orale rehydratatiemiddelen,Produkty do nawadniania doustnego,Izdelki za peroralno rehidracijo
A03TE,Meat imitates,Kjøtterstatninger,Fleischersatz,Υποκατάστατα κρέατος,Sustitutos de la carne,Sostituti della carne,Vleesvervangers,Zamienniki mięsa,Mesni nadomestki
A03TH,Milk imitates,Melkeerstatninger,Milchersatz,Υποκατάστατα γάλακτος,Bebidas vegetales sustitutivas de la leche,Sostituti del latte,Melkvervangers,Zamienniki mleka,Mlečni nadomestki
A03TQ,Dairy imitates other than milks,Andre melkeproduktserstatninger,Milchprodukt-Ersatz außer Milch,Άλλα υποκατάστατα γαλακτοκομικών,Sustitutos lácteos distintos de la leche,Sostituti dei latticini diversi dal latte,Overige zuivelvervangers,Zamienniki nabiału inne niż mleko,Nadomestki mlečnih izdelkov razen mleka
A03TR,Imitation cream,Fløteerstatning,Sahneersatz,Υποκατάστατο κρέμας,Sustituto de nata,Sostituto della panna,Slagroomvervanger,Zamiennik śmietanki,Nadomestek smetane
A03TS,Non dairy coffee creamer,Kaffefløteerstatning,Kaffeeweißer,Υποκατάστατο γάλακτος για καφέ,Sustituto de leche para café,Sostituto del latte per caffè,Koffiemelkvervanger,Zabielacz do kawy,Nadomestek mleka za kavo
A03TT,Tofu,Tofu,Tofu,Τόφου,Tofu,Tofu,Tofu,Tofu,Tofu
A03TV,Soya yoghurt,Soyayoghurt,Sojajoghurt,Γιαούρτι σόγιας,Yogur de soja,Yogurt di soia,Sojayoghurt,Jogurt sojowy,Sojin jogurt
A03TY,Imitation cheese,Osteerstatning,Käseersatz,Υποκατάστατο τυριού,Sustituto de queso,Sostituto del formaggio,Kaasvervanger,Zamiennik sera,Nadomestek sira
A03TZ,"Imitation yoghurt, non soy",Yoghurterstatning uten soya,Joghurtersatz ohne Soja,Υποκατάστατο γιαουρτιού χωρίς σόγια,Sustituto de yogur sin soja,Sostituto dello yogurt senza soia,Yoghurtvervanger zonder soja,Zamiennik jogurtu bez soi,Nadomestek jogurta brez soje
A03VD,Potato based dishes,Potetretter,Kartoffelgerichte,Πιάτα με βάση την πατάτα,Platos a base de patata,Piatti a base di patate,Aardappelgerechten,Dania ziemniaczane,Krompirjeve jedi
A03VM,Legumes based dishes,Belgfruktretter,Hülsenfruchtgerichte,Πιάτα με βάση τα όσπρια,Platos a base de legumbres,Piatti a base di legumi,Peulvruchtgerechten,Dania ze strączków,Jedi iz stročnic
A03VV,Meat based dishes,Kjøttretter,Fleischgerichte,Πιάτα με βάση το κρέας,Platos a base de carne,Piatti a base di carne,Vleesgerechten,Dania mięsne,Mesne jedi
A03XX,Vegetable based dishes,Grønnsaksretter,Gemüsegerichte,Πιάτα με βάση τα λαχανικά,Platos a base de verduras,Piatti a base di verdure,Groentegerechten,Dania warzywne,Zelenjavne jedi
A03YJ,Egg based dishes,Eggeretter,Eiergerichte,Πιάτα με βάση το αυγό,Platos a base de huevo,Piatti a base di uova,Eiergerechten,Dania z jaj,Jajčne jedi
A03YZ,Sandwich and sandwich-like dishes,Smørbrød og lignende,Sandwiches und Ähnliches,Σάντουιτς και παρόμοια,Bocadillos y similares,Panini e simili,Broodjes en soortgelijke gerechten,Kanapki i dania podobne,Sendviči in podobne jedi
A03ZN,Pizza and pizza-like dishes,Pizza og lignende,Pizza und Ähnliches,Πίτσα και παρόμοια,Pizzas y similares,Pizze e simili,Pizza en soortgelijke gerechten,Pizza i dania podobne,Pica in podobne jedi
A040C,Finger food,Fingermat,Fingerfood,Σνακ χειρός,Aperitivos para picar,Finger food,Hapjes,Przekąski na jeden kęs,Prstna hrana
